"","Views","Title","Department","Details","Amount","Date","Place","ID"
"566","36 views","
                      I Paid Rs. 1200 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 1,200
                        ","October 12, 2015","Indore
                      , Madhya Pradesh","78635"
"567","83 views","
                      I Paid Rs. 250 to Income Tax in Bangalore.
                    ","Income Tax","New PAN Card","Paid INR 250
                        ","October 12, 2015","Bangalore
                      , Karnataka","78634"
"568","55 views","
                      I Paid Rs. 2000 to Municipal Services in Bangalore.
                    ","Municipal Services","Birth Certificate","Paid INR 2,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78633"
"569","38 views","
                      I Paid Rs. 3200 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 3,200
                        ","October 12, 2015","Indore
                      , Madhya Pradesh","78632"
"570","39 views","
                      I Paid Rs. 4000 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 4,000
                        ","October 12, 2015","Indore
                      , Madhya Pradesh","78631"
"571","49 views","
                      I Paid Rs. 6500 to Stamps and Registration in Bangalore.
                    ","Stamps and Registration","Marriage Certificate","Paid INR 6,500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78630"
"572","92 views","
                      I Paid Rs. 6500 to Police in Bangalore.
                    ","Police","Filing FIR","Paid INR 6,500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78629"
"573","43 views","
                      I Paid Rs. 5600 to Municipal Services in Bangalore.
                    ","Municipal Services","Birth Certificate","Paid INR 5,600
                        ","October 12, 2015","Bangalore
                      , Karnataka","78628"
"574","35 views","
                      I Paid Rs. 15000 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 15,000
                        ","October 12, 2015","Indore
                      , Madhya Pradesh","78627"
"575","107 views","
                      I Paid Rs. 60000 to Police in Pune.
                    ","Police","Police Verification for Passport","Paid INR 60,000
                        ","October 12, 2015","Pune
                      , Maharashtra","78626"
"576","42 views","
                      I Paid Rs. 6500 to Stamps and Registration in Bangalore.
                    ","Stamps and Registration","Marriage Certificate","Paid INR 6,500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78625"
"577","37 views","
                      I Paid Rs. 2500 to Food, Civil Supplies and Consumer Affairs in Bangalore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 2,500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78624"
"578","33 views","
                      I Paid Rs. 3000 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 3,000
                        ","October 12, 2015","Indore
                      , Madhya Pradesh","78623"
"579","36 views","
                      I Paid Rs. 2500 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 2,500
                        ","October 12, 2015","Indore
                      , Madhya Pradesh","78622"
"580","45 views","
                      I Paid Rs. 500 to Municipal Services in Agra.
                    ","Municipal Services","Birth Certificate","Paid INR 500
                        ","October 12, 2015","Agra
                      , Uttar Pradesh","78621"
"581","37 views","
                      I Paid Rs. 2000 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 2,000
                        ","October 12, 2015","Indore
                      , Madhya Pradesh","78620"
"582","45 views","
                      I Paid Rs. 610 to Municipal Services in Agra.
                    ","Municipal Services","Birth Certificate","Paid INR 610
                        ","October 12, 2015","Agra
                      , Uttar Pradesh","78619"
"583","37 views","
                      I Paid Rs. 2500 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 2,500
                        ","October 12, 2015","Indore
                      , Madhya Pradesh","78618"
"584","69 views","
                      I Paid Rs. 65000 to Police in Bangalore.
                    ","Police","Filing FIR","Paid INR 65,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78617"
"585","44 views","
                      I Paid Rs. 1500 to Municipal Services in Agra.
                    ","Municipal Services","Birth Certificate","Paid INR 1,500
                        ","October 12, 2015","Agra
                      , Uttar Pradesh","78616"
"586","34 views","
                      I Paid Rs. 1400 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 1,400
                        ","October 12, 2015","Indore
                      , Madhya Pradesh","78615"
"587","49 views","
                      I Paid Rs. 1200 to Municipal Services in Agra.
                    ","Municipal Services","Birth Certificate","Paid INR 1,200
                        ","October 12, 2015","Agra
                      , Uttar Pradesh","78614"
"588","53 views","
                      I Paid Rs. 5000 to Stamps and Registration in Bangalore.
                    ","Stamps and Registration","Marriage Certificate","Paid INR 5,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78613"
"589","32 views","
                      I Paid Rs. 800 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 800
                        ","October 12, 2015","Indore
                      , Madhya Pradesh","78612"
"590","49 views","
                      I Paid Rs. 6500 to Stamps and Registration in Bangalore.
                    ","Stamps and Registration","Marriage Certificate","Paid INR 6,500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78611"
"591","43 views","
                      I Paid Rs. 4000 to Municipal Services in Agra.
                    ","Municipal Services","Birth Certificate","Paid INR 4,000
                        ","October 12, 2015","Agra
                      , Uttar Pradesh","78610"
"592","123 views","
                      I Paid Rs. 5600 to Transport in Bangalore.
                    ","Transport","New Domestic Driving License","Paid INR 5,600
                        ","October 12, 2015","Bangalore
                      , Karnataka","78609"
"593","34 views","
                      I Paid Rs. 900 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 900
                        ","October 12, 2015","Indore
                      , Madhya Pradesh","78608"
"594","78 views","
                      I Paid Rs. 6500 to Transport in Bangalore.
                    ","Transport","New Domestic Driving License","Paid INR 6,500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78607"
"595","44 views","
                      I Paid Rs. 3000 to Municipal Services in Agra.
                    ","Municipal Services","Birth Certificate","Paid INR 3,000
                        ","October 12, 2015","Agra
                      , Uttar Pradesh","78606"
"596","94 views","
                      I Paid Rs. 50000 to Transport in Bangalore.
                    ","Transport","Duplicate Registration Certificate","Paid INR 50,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78605"
"597","37 views","
                      I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 500
                        ","October 12, 2015","Indore
                      , Madhya Pradesh","78604"
"598","42 views","
                      I Paid Rs. 5800 to Municipal Services in Bangalore.
                    ","Municipal Services","Birth Certificate","Paid INR 5,800
                        ","October 12, 2015","Bangalore
                      , Karnataka","78603"
"599","57 views","
                      I Paid Rs. 2000 to Municipal Services in Agra.
                    ","Municipal Services","Birth Certificate","Paid INR 2,000
                        ","October 12, 2015","Agra
                      , Uttar Pradesh","78602"
"600","33 views","
                      I Paid Rs. 610 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 610
                        ","October 12, 2015","Indore
                      , Madhya Pradesh","78601"
"601","48 views","
                      I Paid Rs. 5500 to Stamps and Registration in Bangalore.
                    ","Stamps and Registration","Marriage Certificate","Paid INR 5,500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78600"
"602","111 views","
                      I Paid Rs. 6000 to Commercial Tax, Sales Tax, VAT in Mumbai.
                    ","Commercial Tax, Sales Tax, VAT","C Form","Paid INR 6,000
                        ","October 12, 2015","Mumbai
                      , Maharashtra","78599"
"603","70 views","
                      I Paid Rs. 5000 to Transport in Bangalore.
                    ","Transport","New Domestic Driving License","Paid INR 5,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78598"
"604","49 views","
                      I Paid Rs. 1000 to Municipal Services in Agra.
                    ","Municipal Services","Birth Certificate","Paid INR 1,000
                        ","October 12, 2015","Agra
                      , Uttar Pradesh","78597"
"605","33 views","
                      I Paid Rs. 1500 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 1,500
                        ","October 12, 2015","Indore
                      , Madhya Pradesh","78596"
"606","34 views","
                      I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Bangalore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78595"
"607","49 views","
                      I Paid Rs. 5000 to Stamps and Registration in Bangalore.
                    ","Stamps and Registration","Marriage Certificate","Paid INR 5,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78594"
"608","35 views","
                      I Paid Rs. 1200 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 1,200
                        ","October 12, 2015","Indore
                      , Madhya Pradesh","78593"
"609","38 views","
                      I Paid Rs. 5200 to Municipal Services in Bangalore.
                    ","Municipal Services","Birth Certificate","Paid INR 5,200
                        ","October 12, 2015","Bangalore
                      , Karnataka","78592"
"610","65 views","
                      I Paid Rs. 25000 to Police in Bangalore.
                    ","Police","Filing FIR","Paid INR 25,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78591"
"611","55 views","
                      I Paid Rs. 1800 to Municipal Services in Agra.
                    ","Municipal Services","Birth Certificate","Paid INR 1,800
                        ","October 12, 2015","Agra
                      , Uttar Pradesh","78589"
"612","37 views","
                      I Paid Rs. 4000 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 4,000
                        ","October 12, 2015","Indore
                      , Madhya Pradesh","78588"
"613","39 views","
                      I Paid Rs. 2500 to Food, Civil Supplies and Consumer Affairs in Bangalore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 2,500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78586"
"614","80 views","
                      I Paid Rs. 2500 to Transport in Bangalore.
                    ","Transport","Duplicate Registration Certificate","Paid INR 2,500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78585"
"615","47 views","
                      I Paid Rs. 2400 to Municipal Services in Agra.
                    ","Municipal Services","Birth Certificate","Paid INR 2,400
                        ","October 12, 2015","Agra
                      , Uttar Pradesh","78584"
"616","39 views","
                      I Paid Rs. 3000 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 3,000
                        ","October 12, 2015","Indore
                      , Madhya Pradesh","78583"
"617","45 views","
                      I Paid Rs. 3500 to Municipal Services in Bangalore.
                    ","Municipal Services","Birth Certificate","Paid INR 3,500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78582"
"618","131 views","
                      I Paid Rs. 5800 to Customs, Excise and Service Tax in Bangalore.
                    ","Customs, Excise and Service Tax","Customs Check and Clearance","Paid INR 5,800
                        ","October 12, 2015","Bangalore
                      , Karnataka","78581"
"619","40 views","
                      I Paid Rs. 2610 to Municipal Services in Agra.
                    ","Municipal Services","Birth Certificate","Paid INR 2,610
                        ","October 12, 2015","Agra
                      , Uttar Pradesh","78580"
"620","38 views","
                      I Paid Rs. 2000 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 2,000
                        ","October 12, 2015","Indore
                      , Madhya Pradesh","78579"
"621","78 views","
                      I Paid Rs. 4500 to Transport in Bangalore.
                    ","Transport","New Domestic Driving License","Paid INR 4,500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78578"
"622","97 views","
                      I Paid Rs. 5000 to Commercial Tax, Sales Tax, VAT in Bangalore.
                    ","Commercial Tax, Sales Tax, VAT","C Form","Paid INR 5,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78577"
"623","45 views","
                      I Paid Rs. 3610 to Municipal Services in Agra.
                    ","Municipal Services","Birth Certificate","Paid INR 3,610
                        ","October 12, 2015","Agra
                      , Uttar Pradesh","78576"
"624","35 views","
                      I Paid Rs. 1000 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 1,000
                        ","October 12, 2015","Indore
                      , Madhya Pradesh","78575"
"625","51 views","
                      I Paid Rs. 2500 to Transport in Bangalore.
                    ","Transport","Duplicate Registration Certificate","Paid INR 2,500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78574"
"626","51 views","
                      I Paid Rs. 45000 to Stamps and Registration in Bangalore.
                    ","Stamps and Registration","Registration of Flat or Apartment","Paid INR 45,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78573"
"627","39 views","
                      I Paid Rs. 1800 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 1,800
                        ","October 12, 2015","Indore
                      , Madhya Pradesh","78572"
"628","49 views","
                      I Paid Rs. 5600 to Stamps and Registration in Bangalore.
                    ","Stamps and Registration","Registration of Property","Paid INR 5,600
                        ","October 12, 2015","Bangalore
                      , Karnataka","78571"
"629","59 views","
                      I Paid Rs. 5500 to Police in Bangalore.
                    ","Police","Traffic Violations","Paid INR 5,500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78570"
"630","39 views","
                      I Paid Rs. 2400 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 2,400
                        ","October 12, 2015","Indore
                      , Madhya Pradesh","78569"
"631","58 views","
                      I Paid Rs. 3200 to Transport in Bangalore.
                    ","Transport","New Domestic Driving License","Paid INR 3,200
                        ","October 12, 2015","Bangalore
                      , Karnataka","78568"
"632","121 views","
                      I Paid Rs. 9000 to Commercial Tax, Sales Tax, VAT in New Delhi.
                    ","Commercial Tax, Sales Tax, VAT","C Form","Paid INR 9,000
                        ","October 12, 2015","New Delhi
                      , Delhi","78567"
"633","37 views","
                      I Paid Rs. 2610 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 2,610
                        ","October 12, 2015","Indore
                      , Madhya Pradesh","78566"
"634","34 views","
                      I Paid Rs. 3610 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 3,610
                        ","October 12, 2015","Indore
                      , Madhya Pradesh","78565"
"635","54 views","
                      I Paid Rs. 2500 to Police in Bangalore.
                    ","Police","Police Verification for Passport","Paid INR 2,500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78564"
"636","51 views","
                      I Paid Rs. 5200 to Transport in Bangalore.
                    ","Transport","Duplicate Registration Certificate","Paid INR 5,200
                        ","October 12, 2015","Bangalore
                      , Karnataka","78562"
"637","39 views","
                      I Paid Rs. 800 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 800
                        ","October 12, 2015","Indore
                      , Madhya Pradesh","78561"
"638","35 views","
                      I Paid Rs. 650 to Food, Civil Supplies and Consumer Affairs in Bangalore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 650
                        ","October 12, 2015","Bangalore
                      , Karnataka","78560"
"639","35 views","
                      I Paid Rs. 1200 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 1,200
                        ","October 12, 2015","Indore
                      , Madhya Pradesh","78559"
"640","38 views","
                      I Paid Rs. 3000 to Municipal Services in Bangalore.
                    ","Municipal Services","Birth Certificate","Paid INR 3,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78558"
"641","51 views","
                      I Paid Rs. 5600 to Stamps and Registration in Bangalore.
                    ","Stamps and Registration","Marriage Certificate","Paid INR 5,600
                        ","October 12, 2015","Bangalore
                      , Karnataka","78557"
"642","37 views","
                      I Paid Rs. 3200 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 3,200
                        ","October 12, 2015","Indore
                      , Madhya Pradesh","78556"
"643","55 views","
                      I Paid Rs. 25000 to Police in Bangalore.
                    ","Police","Filing FIR","Paid INR 25,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78555"
"644","48 views","
                      I Paid Rs. 6000 to Stamps and Registration in Bangalore.
                    ","Stamps and Registration","Marriage Certificate","Paid INR 6,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78554"
"645","33 views","
                      I Paid Rs. 4000 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 4,000
                        ","October 12, 2015","Indore
                      , Madhya Pradesh","78553"
"646","41 views","
                      I Paid Rs. 2500 to Municipal Services in Agra.
                    ","Municipal Services","Birth Certificate","Paid INR 2,500
                        ","October 12, 2015","Agra
                      , Uttar Pradesh","78552"
"647","51 views","
                      I Paid Rs. 2500 to Transport in Bangalore.
                    ","Transport","New Domestic Driving License","Paid INR 2,500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78551"
"648","125 views","
                      I Paid Rs. 60000 to Customs, Excise and Service Tax in Bangalore.
                    ","Customs, Excise and Service Tax","Customs Check and Clearance","Paid INR 60,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78550"
"649","31 views","
                      I Paid Rs. 1500 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 1,500
                        ","October 12, 2015","Indore
                      , Madhya Pradesh","78549"
"650","86 views","
                      I Paid Rs. 2000 to Municipal Services in Aligarh.
                    ","Municipal Services","Birth Certificate","Paid INR 2,000
                        ","October 12, 2015","Aligarh
                      , Uttar Pradesh","78548"
"651","48 views","
                      I Paid Rs. 5000 to Stamps and Registration in Bangalore.
                    ","Stamps and Registration","Marriage Certificate","Paid INR 5,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78547"
"652","92 views","
                      I Paid Rs. 15000 to Customs, Excise and Service Tax in Bangalore.
                    ","Customs, Excise and Service Tax","Customs Check and Clearance","Paid INR 15,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78546"
"653","288 views","
                      I Paid Rs. 9000 to Passport in Chennai.
                    ","Passport","Police Verification for Passport","Paid INR 9,000
                        ","October 12, 2015","Chennai
                      , Tamil Nadu","78544"
"654","29 views","
                      I Paid Rs. 520 to Food, Civil Supplies and Consumer Affairs in Bangalore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 520
                        ","October 12, 2015","Bangalore
                      , Karnataka","78543"
"655","30 views","
                      I Paid Rs. 3000 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 3,000
                        ","October 12, 2015","Indore
                      , Madhya Pradesh","78542"
"656","194 views","
                      I Paid Rs. 2000 to Passport in Bangalore.
                    ","Passport","Passport Delivery","Paid INR 2,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78541"
"657","142 views","
                      I Paid Rs. 2500 to Passport in Bangalore.
                    ","Passport","Police Verification for Passport","Paid INR 2,500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78540"
"658","31 views","
                      I Paid Rs. 2500 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 2,500
                        ","October 12, 2015","Indore
                      , Madhya Pradesh","78539"
"659","45 views","
                      I Paid Rs. 25000 to Stamps and Registration in Bangalore.
                    ","Stamps and Registration","Registration of Property","Paid INR 25,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78538"
"660","62 views","
                      I Paid Rs. 2500 to Transport in Bangalore.
                    ","Transport","Registration of Vehicle","Paid INR 2,500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78536"
"661","31 views","
                      I Paid Rs. 2000 to Food, Civil Supplies and Consumer Affairs in Indore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 2,000
                        ","October 12, 2015","Indore
                      , Madhya Pradesh","78537"
"662","52 views","
                      I Paid Rs. 15000 to Police in Bangalore.
                    ","Police","Filing FIR","Paid INR 15,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78535"
"663","48 views","
                      I Paid Rs. 2500 to Police in Bangalore.
                    ","Police","Traffic Violations","Paid INR 2,500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78534"
"664","49 views","
                      I Paid Rs. 25000 to Police in Bangalore.
                    ","Police","Police Harassment","Paid INR 25,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78533"
"665","96 views","
                      I Paid Rs. 1500 to Passport in Bangalore.
                    ","Passport","Passport Delivery","Paid INR 1,500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78532"
"666","66 views","
                      I Paid Rs. 500 to Income Tax in Bangalore.
                    ","Income Tax","New PAN Card","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78531"
"667","88 views","
                      I Paid Rs. 1500 to Passport in Bangalore.
                    ","Passport","Passport Delivery","Paid INR 1,500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78530"
"668","58 views","
                      I Paid Rs. 2500 to Transport in Bangalore.
                    ","Transport","New Domestic Driving License","Paid INR 2,500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78529"
"669","46 views","
                      I Paid Rs. 1000 to Stamps and Registration in Bangalore.
                    ","Stamps and Registration","Marriage Certificate","Paid INR 1,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78528"
"670","34 views","
                      I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Bangalore.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78527"
"671","48 views","
                      I Paid Rs. 15000 to Police in Bangalore.
                    ","Police","Filing FIR","Paid INR 15,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78526"
"672","66 views","
                      I Paid Rs. 2000 to Transport in Bangalore.
                    ","Transport","Duplicate Registration Certificate","Paid INR 2,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78525"
"673","64 views","
                      I Paid Rs. 2500 to Customs, Excise and Service Tax in Bangalore.
                    ","Customs, Excise and Service Tax","Customs Check and Clearance","Paid INR 2,500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78524"
"674","70 views","
                      I Paid Rs. 1500 to Commercial Tax, Sales Tax, VAT in Bangalore.
                    ","Commercial Tax, Sales Tax, VAT","C Form","Paid INR 1,500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78522"
"675","69 views","
                      I Paid Rs. 5000 to Commercial Tax, Sales Tax, VAT in Bangalore.
                    ","Commercial Tax, Sales Tax, VAT","C Form","Paid INR 5,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78523"
"676","38 views","
                      I Paid Rs. 2000 to Municipal Services in Bangalore.
                    ","Municipal Services","Birth Certificate","Paid INR 2,000
                        ","October 12, 2015","Bangalore
                      , Karnataka","78521"
"677","67 views","
                      I Paid Rs. 2500 to Transport in Bangalore.
                    ","Transport","Registration of Vehicle","Paid INR 2,500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78520"
"678","98 views","
                      I Paid Rs. 600 to Food, Civil Supplies and Consumer Affairs in Abhayapuri.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 600
                        ","October 12, 2015","Abhayapuri
                      , Assam","78519"
"679","103 views","
                      I Paid Rs. 424 to Commercial Tax, Sales Tax, VAT in Abhayapuri.
                    ","Commercial Tax, Sales Tax, VAT","C Form","Paid INR 424
                        ","October 12, 2015","Abhayapuri
                      , Assam","78518"
"680","119 views","
                      I Paid Rs. 15000 to Passport in Adityapur.
                    ","Passport","Passport Delivery","Paid INR 15,000
                        ","October 12, 2015","Adityapur
                      , Jharkhand","78517"
"681","92 views","
                      I Paid Rs. 2500 to Police in Aligarh.
                    ","Police","Police Verification for Passport","Paid INR 2,500
                        ","October 12, 2015","Aligarh
                      , Uttar Pradesh","78516"
"682","93 views","
                      I Paid Rs. 1500 to Transport in Abhayapuri.
                    ","Transport","New Domestic Driving License","Paid INR 1,500
                        ","October 12, 2015","Abhayapuri
                      , Assam","78514"
"683","78 views","
                      I Paid Rs. 10000 to Stamps and Registration in Allahabad.
                    ","Stamps and Registration","Registration of Property","Paid INR 10,000
                        ","October 12, 2015","Allahabad
                      , Uttar Pradesh","78513"
"684","118 views","
                      I Paid Rs. 550 to Income Tax in Adari.
                    ","Income Tax","New PAN Card","Paid INR 550
                        ","October 12, 2015","Adari
                      , Uttar Pradesh","78512"
"685","58 views","
                      I Paid Rs. 2000 to Transport in Arwal.
                    ","Transport","New Domestic Driving License","Paid INR 2,000
                        ","October 12, 2015","Arwal
                      , Bihar","78511"
"686","68 views","
                      I Paid Rs. 500 to Stamps and Registration in Alleppey.
                    ","Stamps and Registration","Marriage Certificate","Paid INR 500
                        ","October 12, 2015","Alleppey
                      , Kerala","78510"
"687","79 views","
                      I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Ahmadnagar.
                    ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","Paid INR 500
                        ","October 12, 2015","Ahmadnagar
                      , Maharashtra","78509"
"688","117 views","
                      I Paid Rs. 1500 to Commercial Tax, Sales Tax, VAT in Abohar.
                    ","Commercial Tax, Sales Tax, VAT","C Form","Paid INR 1,500
                        ","October 12, 2015","Abohar
                      , Punjab","78508"
"689","82 views","
                      I Paid Rs. 15000 to Police in Adoni.
                    ","Police","Filing FIR","Paid INR 15,000
                        ","October 12, 2015","Adoni
                      , Andhra Pradesh","78507"
"690","93 views","
                      I Paid Rs. 2500 to Municipal Services in Ahmedabad.
                    ","Municipal Services","Birth Certificate","Paid INR 2,500
                        ","October 12, 2015","Ahmedabad
                      , Gujarat","78506"
"691","111 views","
                      I Paid Rs. 2500 to Passport in Hyderabad.
                    ","Passport","Passport Delivery","Paid INR 2,500
                        ","October 12, 2015","Hyderabad
                      , Telangana","78503"
"692","54 views","
                      I Paid Rs. 800 to Municipal Services in Bangalore.
                    ","Municipal Services","Birth Certificate","Paid INR 800
                        ","October 12, 2015","Bangalore
                      , Karnataka","78501"
"693","67 views","
                      I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.
                    ","Customs, Excise and Service Tax","Customs Check and Clearance","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78500"
"694","84 views","
                      I Paid Rs. 800 to Passport in Bangalore.
                    ","Passport","Police Verification for Passport","Paid INR 800
                        ","October 12, 2015","Bangalore
                      , Karnataka","78498"
"695","80 views","
                      I Paid Rs. 10000 to Municipal Services in Vadodara.
                    ","Municipal Services","Birth Certificate","Paid INR 10,000
                        ","October 12, 2015","Vadodara
                      , Gujarat","78497"
"696","72 views","
                      I Paid Rs. 500 to Customs, Excise and Service Tax in Bangalore.
                    ","Customs, Excise and Service Tax","Customs Check and Clearance","Paid INR 500
                        ","October 12, 2015","Bangalore
                      , Karnataka","78496"
